acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0.00;0.70;222307.00;0.76;0.00;-5.82;0.04;95.04;2;nivel 8
0.49;0.77;210240.00;0.26;0.01;-8.55;0.05;118.90;7;nivel 8
0.15;0.70;193613.00;0.87;0.13;-4.66;0.03;121.03;7;nivel 8
0.01;0.74;106546.46;0.86;0.01;-5.61;0.29;132.92;1;nivel 8
0.88;0.51;232305.50;0.20;0.00;-8.22;0.03;141.95;10;nivel 9
0.12;0.70;190302.00;0.87;0.00;-5.90;0.07;125.03;10;nivel 8
0.48;0.67;167774.50;0.49;0.00;-4.59;0.09;108.76;11;nivel 8
0.54;0.84;230280.00;0.64;0.00;-4.80;0.04;120.03;6;nivel 8
0.40;0.70;355390.00;0.64;0.00;-5.64;0.12;119.03;8;nivel 8
0.47;0.62;198853.00;0.44;0.00;-9.68;0.05;119.95;2;nivel 9
0.16;0.70;186703.50;0.93;0.00;-4.17;0.06;92.50;6;nivel 8
0.46;0.54;207255.25;0.53;0.00;-7.29;0.06;111.97;0;nivel 8
0.39;0.70;271640.00;0.63;0.00;-7.37;0.04;113.93;11;nivel 8
0.43;0.31;242010.00;0.66;0.00;-6.07;0.03;158.28;9;nivel 8
0.94;0.11;162407.00;0.24;0.01;-26.61;0.06;80.63;11;nivel 8
0.33;0.89;144000.00;0.69;0.00;-6.43;0.06;99.95;11;nivel 8
0.18;0.73;179120.00;0.81;0.75;-6.49;0.10;114.76;3;nivel 8
0.06;0.91;176361.50;0.42;0.00;-8.34;0.09;130.03;11;nivel 8
0.09;0.82;172259.87;0.65;0.00;-5.88;0.25;126.42;10;nivel 8
0.19;0.65;210773.00;0.81;0.00;-4.06;0.05;92.21;0;nivel 8
0.29;0.46;207069.00;0.70;0.00;-4.74;0.04;174.14;11;nivel 8
0.45;0.60;233640.00;0.79;0.00;-4.01;0.03;140.05;3;nivel 8
0.34;0.50;195627.00;0.47;0.00;-8.44;0.05;138.86;0;nivel 8
0.02;0.74;205715.00;0.80;0.00;-6.33;0.07;104.82;1;nivel 8
0.26;0.80;285011.80;0.70;0.00;-3.85;0.24;144.11;0;nivel 8
0.20;0.74;225825.33;0.75;0.30;-6.70;0.03;136.67;7;nivel 8
0.61;0.53;202999.75;0.51;0.00;-8.17;0.04;121.94;11;nivel 8
0.16;0.60;156600.00;0.69;0.00;-8.34;0.20;99.98;5;nivel 8
0.10;0.55;180158.00;0.61;0.00;-7.26;0.08;124.39;7;nivel 8
0.10;0.66;176856.00;0.74;0.00;-3.66;0.08;83.79;9;nivel 8
0.18;0.76;199156.14;0.66;0.00;-5.20;0.11;122.30;11;nivel 8
0.26;0.90;106000.00;0.33;0.01;-9.73;0.09;100.01;1;nivel 8
0.82;0.45;184900.33;0.35;0.00;-11.51;0.04;71.90;9;nivel 8
0.37;0.75;215760.00;0.83;0.00;-2.87;0.05;128.01;3;nivel 8
0.17;0.63;183090.00;0.65;0.00;-4.94;0.04;108.07;8;nivel 8
0.98;0.73;195359.00;0.20;0.00;-12.48;0.04;120.03;2;nivel 8
0.22;0.77;233714.00;0.75;0.00;-4.64;0.10;127.52;4;nivel 8
0.39;0.88;161627.00;0.69;0.00;-4.03;0.12;97.96;6;nivel 8
0.06;0.96;187000.00;0.50;0.00;-6.00;0.21;110.00;9;nivel 8
