acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;key;popularity
5,74571E+15;6,16643E+14;1,6461E+16;3,17071E+16;3,97459E+16;2,48971E+16;-1,21238E+16;5,33857E+16;1,10951E+15;6,91929E+15;10;2792857142857140,00
8,50059E+15;5,16353E+15;4,23653E+16;4,18765E+14;4,32261E+15;1,34147E+15;-1,13317E+16;4,25882E+15;1,06736E+16;4,59188E+15;5;2794117647058820,00
1,69588E+15;3,82364E+15;3,01463E+15;7,07545E+15;8,06958E+15;1,56573E+15;-7,40232E+15;5,09E+15;1,24175E+16;4,35545E+16;9;2795454545454540,00
6,31103E+15;6,235E+15;1,62538E+15;4,39559E+15;4,35901E+15;2,1715E+16;-1,20371E+16;5,45941E+16;1,10584E+16;7,15074E+15;8;2795588235294120,00
8,50089E+15;4,57545E+15;1681940;2,0903E+13;8,93218E+15;2,20707E+15;-1,43397E+16;8,48089E+15;1,05658E+16;4,81972E+15;10;2799363057324840,00
9,00759E+15;4,28345E+15;1,87436E+16;3,22886E+15;6,33226E+15;1,53628E+16;-1,13924E+16;7,88724E+15;1,00221E+16;3,16631E+15;5;2803448275862070,00
8,16286E+15;3,32929E+16;2,85599E+15;1,07221E+16;8,79429E+15;9,90286E+15;-2,09521E+16;4,10286E+15;1,22647E+16;1,40843E+16;6;2807142857142860,00
5,32E+15;4,73583E+15;2,39111E+16;4,00283E+15;4,00328E+15;1,79108E+15;-1,70568E+16;3,58333E+15;1,21861E+16;7,24333E+15;7;2808333333333330,00
8,42505E+15;4,42111E+16;1,57661E+16;725;3,06021E+15;1,62844E+16;-8,37433E+15;4,53778E+16;1,51342E+16;6,20778E+15;9;2811111111111110,00
1,84E+16;6,39333E+15;2,39387E+15;486;5,01947E+15;1,62578E+15;-12223;5,06667E+16;1,17754E+16;6,80222E+15;10;2811111111111110,00
7,2331E+15;5,2293E+15;1,82994E+15;2,05399E+15;2,44406E+16;1,46304E+16;-1,8072E+16;4,05563E+15;1,16744E+16;4,63423E+15;9;2812676056338030,00
6,30535E+14;5,58679E+15;2,40366E+16;4,23657E+15;1,67015E+16;1,90912E+16;-1,30799E+15;1,224E+16;1,13931E+16;5,64113E+15;9;2813333333333330,00
7,74167E+15;6315;1,47533E+16;6,90667E+15;117035;2,40817E+16;-1,06162E+16;9,62333E+15;1,24231E+16;7,96333E+15;9;2816666666666670,00
4,0582E+15;5,85337E+15;3,1704E+16;5,17625E+15;1,05541E+15;2,32721E+15;-1,16437E+15;4,1724E+15;1,11559E+16;6,10106E+15;0;2817307692307690,00
4,60638E+15;5,18917E+15;1,76974E+16;4,66542E+15;1,15804E+16;1,82596E+16;-1,20453E+16;3,33333E+15;118119375;6,04833E+15;5;2829166666666670,00
