acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0,43;0,31;242010;0,66;0;-6,07;0,03;158,28;9;74
0,94;0,11;162407;0,24;0,01;-26,61;0,06;80,63;11;75
0,33;0,89;144000;0,69;0;-6,43;0,06;99,95;11;74,5
0,18;0,73;179120;0,81;0,75;-6,49;0,1;114,76;3;76
0,06;0,91;176361,5;0,42;0;-8,34;0,09;130,03;11;75,5
0,09;0,82;172259,87;0,65;0;-5,88;0,25;126,42;10;75,14
0,19;0,65;210773;0,81;0;-4,06;0,05;92,21;0;76
0,29;0,46;207069;0,7;0;-4,74;0,04;174,14;11;75
0,45;0,6;233640;0,79;0;-4,01;0,03;140,05;3;75
0,34;0,5;195627;0,47;0;-8,44;0,05;138,86;0;74
0,02;0,74;205715;0,8;0;-6,33;0,07;104,82;1;75
0,26;0,8;285011,8;0,7;0;-3,85;0,24;144,11;0;75,2
0,2;0,74;225825,33;0,75;0,3;-6,7;0,03;136,67;7;74,67
0,61;0,53;202999,75;0,51;0;-8,17;0,04;121,94;11;77,75
0,16;0,6;156600;0,69;0;-8,34;0,2;99,98;5;76
0,1;0,55;180158;0,61;0;-7,26;0,08;124,39;7;78,5
0,1;0,66;176856;0,74;0;-3,66;0,08;83,79;9;75,8
0,18;0,76;199156,14;0,66;0;-5,2;0,11;122,3;11;75,03
0,26;0,9;106000;0,33;0,01;-9,73;0,09;100,01;1;78
0,82;0,45;184900,33;0,35;0;-11,51;0,04;71,9;9;78,67
0,37;0,75;215760;0,83;0;-2,87;0,05;128,01;3;74
0,17;0,63;183090;0,65;0;-4,94;0,04;108,07;8;77
0,98;0,73;195359;0,2;0;-12,48;0,04;120,03;2;77
0,22;0,77;233714;0,75;0;-4,64;0,1;127,52;4;78,2
0,39;0,88;161627;0,69;0;-4,03;0,12;97,96;6;78
0,06;0,96;187000;0,5;0;-6;0,21;110;9;77
0,72;0,32;260907;0,43;0;-7,07;0,03;123,42;6;74
0,01;0,51;230613;0,45;0,01;-7,55;0,04;156,91;4;77
0;0,76;248036;0,96;0,7;-5,84;0,06;125;2;75
0,64;0,66;191027;0,48;0;-8,83;0,04;143,18;1;76
0,72;0,82;123874,67;0,52;0;-6,84;0,37;130,85;4;77,67
0,32;0,67;231429;0,4;0;-9,14;0,03;125,98;9;78
0,02;0,64;219043;0,82;0;-5,1;0,06;123,06;5;77
0,01;0,77;202627;0,87;0;-6,38;0,14;126,99;11;77
0,12;0,7;190302;0,87;0;-5,9;0,07;125,03;10;74
0,5;0,64;217236,25;0,48;0;-6,5;0,08;111,35;10;74,63
0,11;0,76;198040;0,54;0;-5,61;0,12;138,97;8;75
0,33;0,89;144000;0,69;0;-6,43;0,06;99,95;11;74,5
