danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0,8;387000;0,66;0,91;0,67;-7,34;0,04;124,01;8;0
0,08;361160;0,04;0,86;0,11;-30,07;0,05;67,1;7;47
0,2;190840;0,01;0;0,09;-32,3;0,04;85,14;5;40
0,61;164634;0,8;0;0,1;-5,58;0,04;163,85;7;0
0,6;211040;0,25;0;0,63;-16,71;0,17;130,14;4;10
0,74;371728;0,75;0,03;0,07;-7,22;0,07;128;6;0
0,51;447429;0,92;0,57;0,32;-8,95;0,06;139,99;6;0
0,7;232455;0,95;0;0,14;-3,41;0,05;128,02;5;0
0,78;465490;0,86;0,89;0,05;-7,44;0,15;124,01;1;0
0,82;460001;0,8;0,67;0,13;-6,93;0,07;126;7;0
0,69;191745;0,66;0;0,12;-9,21;0,04;132;3;0
0,82;222920;0,89;0;0,33;-9,24;0,08;100;6;59
0,82;378173;0,84;0;0,06;-7,44;0,03;120,96;2;38
0,46;314373;0,26;0,63;0,13;-14,99;0,05;168,17;4;28
0,11;331933;0,07;0,43;0,09;-23,42;0,04;89,33;4;56
0,2;201000;0,01;0;0,07;-37,47;0,04;128,67;8;46
0,52;116747;0,24;0;0,34;-17,09;0,2;101,21;4;0
0,23;165467;0,1;0;0,35;-22,43;0,04;81,01;10;0
0,26;235360;0,19;0,22;0,51;-16,09;0,04;97,16;7;0
0,27;119253;0,04;0,56;0,07;-31,51;0,05;159,34;7;0
0,77;200640;0,87;0;0,12;-5,94;0,04;136,06;2;37
0,2;201000;0,01;0;0,07;-37,47;0,04;128,67;8;46
0,76;267093;0,46;0;0,14;-8,83;0,19;84,08;7;45
0,21;971693;0,1;0,72;0,11;-16,31;0,04;133,81;9;0
0,4;89937;0,9;0,23;0,55;-6,86;0,05;128,03;2;22
0,18;119627;0,13;0,59;0,09;-16,93;0,04;74,29;1;45
0,32;149120;0,05;0;0,15;-22,18;0,04;128,7;0;0
0,63;173893;0,42;0,03;0,13;-11,15;0,04;119,74;8;0
0,52;237187;0,65;0,27;0,16;-9,83;0,04;86,19;7;34
0,88;315000;0,68;0,18;0,67;-3,15;0,16;128,03;2;0
0,83;499625;0,8;0,9;0,12;-11,04;0,05;122,01;11;20
0,63;98000;0,48;0,81;0,12;-15,97;0,03;119,07;9;35
0,29;313933;0,25;0,12;0,1;-17,59;0,05;75,88;6;0
0,25;230027;0,31;0,6;0,13;-11,66;0,03;78,3;11;19
0,59;466909;0,78;0,82;0,1;-6,18;0,14;128,02;5;0
0,89;138997;0,54;0;0,15;-5,42;0,34;83,52;1;62
0;163077;0,27;0,82;0,05;-12,75;0;0;0;25
0,89;154315;0,46;0;0,21;-9,37;0,4;139,95;11;73
0,56;189632;0,87;0;0,1;-3,63;0,03;127,96;4;0
0,2;527400;0,19;0,65;0,07;-21,57;0,06;85,88;5;44
0,94;286875;0,73;0,94;0,22;-6,74;0,25;128;6;0
0,43;251520;0,55;0;0,29;-6,33;0,03;149,76;4;62
0,74;322560;0,92;0,08;0,06;-2,95;0,07;125;10;5
0,46;200000;0,76;0;0,08;-9,28;0,11;93,91;2;32
0,35;220560;0,1;0;0,41;-17,7;0,04;128,06;0;9
0,66;239973;0,74;0;0,32;-4,64;0,3;92,61;0;42
0,12;212000;0,01;0,95;0,1;-31,62;0,06;65,44;5;53
0,59;240909;0,93;0,28;0,41;-4,38;0,05;132,05;6;0
0,78;413780;0,81;0,11;0,06;-7,28;0,08;125,01;2;0
0,16;299333;0,18;0,02;0,43;-17,98;0,04;82,28;6;24
0,6;339609;0,97;0,29;0,13;-6,04;0,05;128;1;1
0,41;193907;0,22;0,91;0,1;-12,86;0,03;78,53;1;18
0,58;195240;0,41;0;0,06;-10,89;0,43;86,85;8;0
0,28;293331;0,74;0;0,12;-3,94;0,04;155,88;11;60
