danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,popularity
0.58,164473,0.1,0,0.13,-15.8,0.08,69.9,7,0
0.61,207880,0.43,0,0.11,-10.43,0.04,127.2,8,51
0.4,278360,0.76,0,0.14,-10.58,0.11,166.03,2,25
0.64,245493,0.49,0,0.1,-8.13,0.03,126.1,1,51
0.8,436787,0.72,0.83,0.05,-9.31,0.07,124,8,5
0.68,223739,0.64,0.73,0.1,-8.74,0.06,103.01,10,0
0.52,423173,0.7,0,0.38,-6.95,0.03,140.13,2,64
0.59,238452,0.68,0,0.07,-6.19,0.04,88.6,7,49
0.72,144933,0.37,0,0.2,-10.44,0.03,118.19,2,24
0.15,212893,0.13,0.03,0.4,-17.29,0.04,87.49,6,35
0.6,281400,0.78,0,0.19,-6.47,0.25,79.86,6,45
0.55,209040,0.95,0.01,0.13,-4.61,0.07,164.09,4,55
0.37,235467,0.28,0.01,0.18,-8.05,0.03,87,9,34
0.82,182197,0.47,0,0.13,-8.71,0.06,94.99,10,0
0.17,197240,0.22,0,0.17,-13.77,0.03,86.51,2,1
0.44,200667,0.19,0,0.13,-13.67,0.04,180.38,5,37
0.55,181773,0.88,0,0.09,-5.61,0.04,99.97,10,50
0.81,209040,0.48,0.14,0.09,-10.63,0.1,130.32,9,37
0.81,435000,0.87,0.91,0.07,-7.57,0.04,124.01,11,0
0.62,386853,0.72,0,0.25,-4.86,0.05,96.85,9,49
0.61,257600,0.88,0,0.13,-5.64,0.23,163.44,7,53
0.76,181907,0.9,0.07,0.22,-2.62,0.09,118.87,9,58
0.82,230952,0.5,0,0.09,-9.3,0.72,169.89,0,0
0.67,323030,0.92,0.93,0.29,-10.11,0.05,127.98,6,0
0.56,262907,0.52,0,0.31,-12.05,0.03,116.9,7,32
0.48,236720,0.84,0,0.11,-6.54,0.14,144.67,7,0
0.42,284160,0.49,0.79,0.08,-15.38,0.04,106.14,7,0
0.76,368005,0.93,0.92,0.07,-6.06,0.06,120.01,10,0
0.64,168280,0.7,0,0.47,-4.82,0.04,84.03,7,54
0.8,272787,0.78,0.14,0.04,-7.49,0.16,96.03,1,31
0.71,208477,0.14,0,0.08,-12.85,0.15,77.65,0,0
0.26,838560,0.75,0,0.07,-7.8,0.06,148.41,0,52
0.41,206707,0.5,0.85,0.12,-17.67,0.07,108.24,11,0
0.65,465241,0.62,0.9,0.57,-13.45,0.04,130,10,0
0.48,535376,0.3,0.01,0.08,-16.26,0.06,105.05,2,0
0.35,58652,0.98,0,0.61,-6.12,0.06,131.98,5,4
0.43,162891.5,0.93,0.39,0.22,-6.72,0.04,136.52,6,35
0.78,208133,0.82,0,0.14,-3.21,0.05,119.99,1,49
0.31,177787,0.13,0,0.57,-19.31,0.05,78.46,5,65
0.67,372853,0.13,0.01,0.11,-13.26,0.03,107.99,3,0
0.74,285653,0.82,0,0.06,-11.97,0.04,108.88,5,38
0.63,247467,0.95,0.07,0.03,-4.97,0.05,150.05,3,2
0.91,227547,0.77,0,0.08,-7.88,0.07,115.05,0,3
0.46,80827,0.09,0,0.89,-23.75,0.11,72.95,2,0
0.46,218293,0.25,0.95,0.18,-16.71,0.04,129.9,0,37
0.81,444000,0.8,0.29,0.06,-8.4,0.06,123.01,5,0
0.69,221520,0.48,0,0.11,-5.72,0.26,79.94,10,51
0.75,486319,0.86,0.89,0.12,-7.83,0.05,128,10,0
0.64,461880,0.97,0.72,0.1,-5.79,0.13,139.97,7,0
0.73,282736,0.99,0,0.28,-1.35,0.29,135.99,6,0
0.89,212920,0.47,0,0.3,-6.45,0.08,75,1,56
0.67,300907,0.82,0,0.09,-8.55,0.06,174.03,1,55
0.42,79852,0.92,0.8,0.28,-11.81,0.04,138.22,6,9
0.7,405851,0.94,0.76,0.33,-5.91,0.05,138.01,7,0
0.29,220013,0.89,0.18,0.16,-5.27,0.08,87.63,2,52
0.35,167000,0.01,0.95,0.13,-34.75,0.04,65.45,8,54
0.53,188893,0.63,0,0.48,-7.96,0.37,94.03,10,53
0.22,294820,0.19,0.05,0.1,-19.33,0.09,100.66,5,6
0.64,184286.5,0.45,0,0.42,-8.81,0.09,122.83,7,9
0.31,316680,0.19,0.44,0.12,-17.33,0.1,88.94,7,49
0.38,275760,0.15,0.43,0.13,-19.38,0.04,100,3,48
0.52,124173,0.46,0.26,0.1,-10.6,0.03,137.34,0,0
0.72,108500,0.53,0,0.11,-13.66,0.29,80.12,3,2
0.82,88644,0.45,0,0.13,-14.69,0.1,129.99,0,66
0.93,231040,0.45,0,0.13,-19.68,0.32,99.84,4,31
0.77,325636,0.64,0,0.11,-13.37,0.26,111.86,4,33
0.83,197840,0.65,0,0.25,-4.73,0.08,92.06,1,68
0.63,242827,0.99,0,0.5,-0.2,0.04,128.02,4,56
0.32,350348,0.14,0.92,0.07,-17.45,0.04,142.82,7,62
0.55,203781,0.21,0.89,0.09,-15.23,0.08,122.72,4,0
0.79,441419,0.53,0.91,0.11,-13.75,0.07,127.99,7,0
0.56,233639,0.29,0.93,0.08,-19.71,0.05,100,7,0
0.32,222433,0.59,0,0.34,-11.02,0.08,89.74,7,0
0.3,195320,0.21,0.87,0.11,-16.58,0.04,83.07,8,0
0.72,453467,0.79,0,0.48,-4.89,0.26,88.99,0,0
0.29,248613,0.94,0,0.42,-5.77,0.06,114.72,0,1
0.44,1216253,0.17,0,0.1,-15.74,0.05,99.29,0,32
0.33,98560,0.1,0,0.12,-11.03,0.04,118.54,6,0
0.53,225200,0.97,0,0.29,-4.14,0.05,144.02,1,49
0.46,244600,0.2,0.03,0.12,-17.28,0.04,121.67,2,43
0.27,561933,0.13,0.77,0.09,-24.49,0.05,126.65,1,30
0.93,234373,0.59,0,0.08,-12.01,0.16,118.96,10,43
0.78,378834,0.74,0.88,0.64,-11.96,0.13,127,7,0
0.51,189120,0.74,0.92,0.4,-7.7,0.07,110.99,4,0
0.79,562000,0.88,0.93,0.07,-11.49,0.06,128.05,11,0
0.76,441905,0.62,0.85,0.79,-8.7,0.07,126,7,0
0.66,350867,0.63,0.02,0.05,-7.8,0.04,114.98,9,28
0.34,66507,0.67,0.97,0.31,-10.37,0.05,198.59,5,36
0.37,127427,0.17,0,0.09,-18.32,0.04,104.04,3,24
0.35,173573,0.21,0,0.16,-17.26,0.03,70.72,1,24
0.46,124867,0.16,0,0.09,-18.47,0.03,70.21,1,17
