danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0.44;153640;0.01;0.92;0.1;-32.97;0.04;141.77;4;med
0.77;203667;0.82;0;0.14;-3.08;0.03;93.01;7;med
0.66;339213;0.87;0;0.05;-9.62;0.11;100.48;10;med
0.65;575120;0.76;0.76;0.15;-6.74;0.03;124.68;1;med
0.49;207720;0.56;0;0.49;-7.32;0.04;147.88;4;med
0.83;80927;0.89;0;0.06;-1.75;0.11;115.06;8;high
0.38;241867;0.24;0;0.12;-17.19;0.03;201.71;4;med
0.53;246507;0.96;0;0.24;-3.92;0.12;135.8;7;med
0.42;182133;0.94;0;0.11;-4.37;0.1;165.76;10;med
0.79;262613;0.61;0;0.34;-9.52;0.2;94.63;11;med
0.43;259733;0.5;0;0.21;-5.31;0.03;117.24;9;med
0.78;222000;0.8;0;0.31;-3.25;0.03;114.13;4;med
0.73;311427;0.33;0;0.1;-11.11;0.07;127.05;0;med
0.49;206354;0.76;0.37;0.34;-5.33;0.03;155.66;1;med
0.91;236588;0.74;0.08;0.08;-3.52;0.05;121.99;5;high
0.37;163239;0.81;0;0.29;-5.86;0.09;117.07;9;med
0.47;364573;0.53;0;0.09;-10.36;0.04;95.99;10;med
0.7;263920;0.86;0;0.07;-5.18;0.43;160.9;11;med
0.41;185316;0.56;0;0.08;-5.97;0.04;118.57;9;med
0.78;368784;0.62;0.53;0.58;-5.83;0.04;106.02;2;high
0.57;200453;0.49;0.66;0.14;-8.03;0.03;110.4;5;med
0.66;213622;0.6;0;0.48;-9.92;0.17;89.61;11;med
0.49;244027;0.41;0;0.12;-11.51;0.21;182.35;1;med
0.59;156493;0.71;0;0.23;-12.12;0.06;95.76;5;med
0.71;181510;0.66;0;0.07;-5.95;0.18;130.04;10;high
0.73;210573.5;0.72;0;0.18;-4.96;0.18;102.44;3;med
0.79;175693;0.62;0;0.14;-8.95;0.05;103.76;3;med
0.66;258653;0.69;0;0.14;-6.17;0.17;86.35;5;med
0.53;323960;0.84;0.23;0.18;-11.93;0.05;111.36;7;med
